precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7841,Election_Day,904,271,29.98,204,47,,20
7841,VBM,904,361,39.93,274,59,,28
7842,Election_Day,864,292,33.8,224,45,,23
7842,VBM,864,292,33.8,226,44,,22
7843,Election_Day,733,228,31.11,165,41,,22
7843,VBM,733,231,31.51,179,40,,12
7844,Election_Day,653,199,30.47,152,32,,15
7844,VBM,653,216,33.08,165,33,1,17
7845,Election_Day,835,235,28.14,178,34,,23
7845,VBM,835,319,38.2,267,39,,13
7846,Election_Day,886,248,27.99,195,32,,21
7846,VBM,886,326,36.79,237,70,,19
7847,Election_Day,888,254,28.6,205,32,,17
